"countryCode","dataPlan","days","price","description"
"JP","무제한","1","3500","데이터 무제한+로깨비톡 무료통화"
"JP","5gb","1","2700",""
"JP","4gb","1","2500",""
"JP","3gb","1","2100",""
"JP","2gb","1","1800",""
"JP","1gb","1","1200",""
"JP","500mb","1","600",""
"JP","무제한","2","6600","데이터 무제한+로깨비톡 무료통화"
"JP","5gb","2","5600",""
"JP","4gb","2","5300",""
"JP","3gb","2","5200",""
"JP","2gb","2","3700",""
"JP","1gb","2","2100",""
"JP","500mb","2","1300",""
"JP","무제한","3","8600","데이터 무제한+로깨비톡 무료통화"
"JP","5gb","3","6800",""
"JP","4gb","3","6600",""
"JP","3gb","3","5900",""
"JP","2gb","3","4600",""
"JP","1gb","3","3000",""
"JP","500mb","3","1700",""
"JP","무제한","4","11200","데이터 무제한+로깨비톡 무료통화"
"JP","5gb","4","8800",""
"JP","4gb","4","8400",""
"JP","3gb","4","7600",""
"JP","2gb","4","6200",""
"JP","1gb","4","4100",""
"JP","500mb","4","2500",""
"JP","무제한","5","14000","데이터 무제한+로깨비톡 무료통화"
"JP","5gb","5","11800",""
"JP","4gb","5","11200",""
"JP","3gb","5","9900",""
"JP","2gb","5","7900",""
"JP","1gb","5","5600",""
"JP","500mb","5","3300",""
"JP","무제한","6","16500","데이터 무제한+로깨비톡 무료통화"
"JP","5gb","6","14700",""
"JP","4gb","6","14000",""
"JP","3gb","6","12400",""
"JP","2gb","6","9900",""
"JP","1gb","6","6800",""
"JP","500mb","6","4200",""
"JP","무제한","7","19000","데이터 무제한+로깨비톡 무료통화"
"JP","5gb","7","17500",""
"JP","4gb","7","17200",""
"JP","3gb","7","15900",""
"JP","2gb","7","13400",""
"JP","1gb","7","8600",""
"JP","500mb","7","5100",""
"JP","무제한","8","",""
"JP","5gb","8","",""
"JP","4gb","8","",""
"JP","3gb","8","",""
"JP","2gb","8","",""
"JP","1gb","8","",""
"JP","500mb","8","",""
"JP","무제한","9","",""
"JP","5gb","9","",""
"JP","4gb","9","",""
"JP","3gb","9","",""
"JP","2gb","9","",""
"JP","1gb","9","",""
"JP","500mb","9","",""
"JP","무제한","10","",""
"JP","5gb","10","24200",""
"JP","4gb","10","23800",""
"JP","3gb","10","22500",""
"JP","2gb","10","17200",""
"JP","1gb","10","11600",""
"JP","500mb","10","6500",""
