"countryCode","dataPlan","days","price","description"
"JP","무제한","1","",""
"JP","5gb","1","2900",""
"JP","4gb","1","",""
"JP","3gb","1","2300",""
"JP","2gb","1","1800",""
"JP","1gb","1","1200",""
"JP","500mb","1","",""
"JP","무제한","2","",""
"JP","5gb","2","5300",""
"JP","4gb","2","",""
"JP","3gb","2","4300",""
"JP","2gb","2","3000",""
"JP","1gb","2","1900",""
"JP","500mb","2","",""
"JP","무제한","3","10900",""
"JP","5gb","3","7700",""
"JP","4gb","3","",""
"JP","3gb","3","5900",""
"JP","2gb","3","4300",""
"JP","1gb","3","2600",""
"JP","500mb","3","",""
"JP","무제한","4","12700",""
"JP","5gb","4","9900",""
"JP","4gb","4","",""
"JP","3gb","4","7700",""
"JP","2gb","4","5500",""
"JP","1gb","4","3200",""
"JP","500mb","4","",""
"JP","무제한","5","15800",""
"JP","5gb","5","12400",""
"JP","4gb","5","",""
"JP","3gb","5","9800",""
"JP","2gb","5","6600",""
"JP","1gb","5","4000",""
"JP","500mb","5","",""
"JP","무제한","6","18000",""
"JP","5gb","6","15700",""
"JP","4gb","6","",""
"JP","3gb","6","11500",""
"JP","2gb","6","",""
"JP","1gb","6","4600",""
"JP","500mb","6","",""
"JP","무제한","7","20300",""
"JP","5gb","7","17200",""
"JP","4gb","7","",""
"JP","3gb","7","13200",""
"JP","2gb","7","9200",""
"JP","1gb","7","5200",""
"JP","500mb","7","",""
"JP","무제한","8","22300",""
"JP","5gb","8","19400",""
"JP","4gb","8","",""
"JP","3gb","8","15000",""
"JP","2gb","8","10300",""
"JP","1gb","8","5800",""
"JP","500mb","8","",""
"JP","무제한","9","24600",""
"JP","5gb","9","21800",""
"JP","4gb","9","",""
"JP","3gb","9","16900",""
"JP","2gb","9","11500",""
"JP","1gb","9","6600",""
"JP","500mb","9","",""
"JP","무제한","10","26800",""
"JP","5gb","10","24500",""
"JP","4gb","10","",""
"JP","3gb","10","18600",""
"JP","2gb","10","12600",""
"JP","1gb","10","7500",""
"JP","500mb","10","",""
