"countryCode","dataPlan","days","price","description"
"JP","무제한","1","",""
"JP","5gb","1","",""
"JP","4gb","1","",""
"JP","3gb","1","",""
"JP","2gb","1","",""
"JP","1gb","1","1200",""
"JP","500mb","1","",""
"JP","무제한","2","",""
"JP","5gb","2","",""
"JP","4gb","2","",""
"JP","3gb","2","",""
"JP","2gb","2","",""
"JP","1gb","2","1900",""
"JP","500mb","2","",""
"JP","무제한","3","10000",""
"JP","5gb","3","",""
"JP","4gb","3","",""
"JP","3gb","3","",""
"JP","2gb","3","",""
"JP","1gb","3","2600",""
"JP","500mb","3","",""
"JP","무제한","4","13200",""
"JP","5gb","4","",""
"JP","4gb","4","",""
"JP","3gb","4","",""
"JP","2gb","4","",""
"JP","1gb","4","3200",""
"JP","500mb","4","",""
"JP","무제한","5","16000",""
"JP","5gb","5","",""
"JP","4gb","5","",""
"JP","3gb","5","",""
"JP","2gb","5","",""
"JP","1gb","5","4000",""
"JP","500mb","5","",""
"JP","무제한","6","",""
"JP","5gb","6","",""
"JP","4gb","6","",""
"JP","3gb","6","",""
"JP","2gb","6","",""
"JP","1gb","6","4600",""
"JP","500mb","6","",""
"JP","무제한","7","22000",""
"JP","5gb","7","",""
"JP","4gb","7","",""
"JP","3gb","7","",""
"JP","2gb","7","",""
"JP","1gb","7","5200",""
"JP","500mb","7","",""
"JP","무제한","8","",""
"JP","5gb","8","",""
"JP","4gb","8","",""
"JP","3gb","8","",""
"JP","2gb","8","",""
"JP","1gb","8","5700",""
"JP","500mb","8","",""
"JP","무제한","9","",""
"JP","5gb","9","",""
"JP","4gb","9","",""
"JP","3gb","9","",""
"JP","2gb","9","",""
"JP","1gb","9","6600",""
"JP","500mb","9","",""
"JP","무제한","10","30900",""
"JP","5gb","10","",""
"JP","4gb","10","",""
"JP","3gb","10","",""
"JP","2gb","10","",""
"JP","1gb","10","7400",""
"JP","500mb","10","",""
