"countryCode","dataPlan","days","price","description"
"JP","무제한","1","3520",""
"JP","5gb","1","",""
"JP","4gb","1","",""
"JP","3gb","1","2160",""
"JP","2gb","1","1720",""
"JP","1gb","1","1120",""
"JP","500mb","1","590",""
"JP","무제한","2","7720",""
"JP","5gb","2","",""
"JP","4gb","2","",""
"JP","3gb","2","4120",""
"JP","2gb","2","2920",""
"JP","1gb","2","1820",""
"JP","500mb","2","990",""
"JP","무제한","3","8620",""
"JP","5gb","3","",""
"JP","4gb","3","",""
"JP","3gb","3","5820",""
"JP","2gb","3","4220",""
"JP","1gb","3","2520",""
"JP","500mb","3","1710",""
"JP","무제한","4","11120",""
"JP","5gb","4","",""
"JP","4gb","4","",""
"JP","3gb","4","7620",""
"JP","2gb","4","5420",""
"JP","1gb","4","3120",""
"JP","500mb","4","2250",""
"JP","무제한","5","14020",""
"JP","5gb","5","",""
"JP","4gb","5","",""
"JP","3gb","5","9720",""
"JP","2gb","5","6520",""
"JP","1gb","5","3920",""
"JP","500mb","5","2340",""
"JP","무제한","6","16420",""
"JP","5gb","6","",""
"JP","4gb","6","",""
"JP","3gb","6","11420",""
"JP","2gb","6","7720",""
"JP","1gb","6","4520",""
"JP","500mb","6","3870",""
"JP","무제한","7","18920",""
"JP","5gb","7","",""
"JP","4gb","7","",""
"JP","3gb","7","13120",""
"JP","2gb","7","9120",""
"JP","1gb","7","5120",""
"JP","500mb","7","4500",""
"JP","무제한","8","24900",""
"JP","5gb","8","",""
"JP","4gb","8","",""
"JP","3gb","8","14920",""
"JP","2gb","8","10220",""
"JP","1gb","8","5720",""
"JP","500mb","8","4950",""
"JP","무제한","9","26900",""
"JP","5gb","9","",""
"JP","4gb","9","",""
"JP","3gb","9","16820",""
"JP","2gb","9","11420",""
"JP","1gb","9","6520",""
"JP","500mb","9","5800",""
"JP","무제한","10","27900",""
"JP","5gb","10","",""
"JP","4gb","10","",""
"JP","3gb","10","18520",""
"JP","2gb","10","12520",""
"JP","1gb","10","7420",""
"JP","500mb","10","6480",""
