countryCode,dataPlan,days,price,description
JP,무제한,1,4000,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,5gb,1,3800,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,4gb,1,3300,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,3gb,1,3000,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,2gb,1,2600,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,1gb,1,2000,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,500mb,1,1500,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,무제한,2,7400,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,5gb,2,6900,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,4gb,2,6000,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,3gb,2,5300,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,2gb,2,4400,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,1gb,2,3500,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,500mb,2,2200,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,무제한,3,9900,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,5gb,3,9100,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,4gb,3,8000,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,3gb,3,7000,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,2gb,3,5900,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,1gb,3,4400,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,500mb,3,2900,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,무제한,4,13000,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,5gb,4,11800,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,4gb,4,10400,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,3gb,4,9100,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,2gb,4,7600,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,1gb,4,5800,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,500mb,4,3600,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,무제한,5,16100,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,5gb,5,14700,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,4gb,5,12800,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,3gb,5,11200,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,2gb,5,9300,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,1gb,5,7100,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,500mb,5,4300,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,무제한,6,19100,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,5gb,6,17400,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,4gb,6,15200,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,3gb,6,13200,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,2gb,6,11000,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,1gb,6,8300,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,500mb,6,5000,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,무제한,7,21800,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,5gb,7,19800,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,4gb,7,17400,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,3gb,7,15000,"Google maps 데이터 무료, Chat GPT 데이터 무료"
