"countryCode","dataPlan","days","price","description"
"JP","무제한","1","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","5gb","1","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","4gb","1","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","3gb","1","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","2gb","1","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","1gb","1","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","500mb","1","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","무제한","2","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","5gb","2","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","4gb","2","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","3gb","2","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","2gb","2","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","1gb","2","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","500mb","2","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","무제한","3","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","5gb","3","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","4gb","3","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","3gb","3","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","2gb","3","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","1gb","3","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","500mb","3","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","무제한","4","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","5gb","4","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","4gb","4","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","3gb","4","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","2gb","4","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","1gb","4","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","500mb","4","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","무제한","5","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","5gb","5","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","4gb","5","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","3gb","5","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","2gb","5","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","1gb","5","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","500mb","5","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","무제한","6","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","5gb","6","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","4gb","6","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","3gb","6","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","2gb","6","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","1gb","6","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","500mb","6","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","무제한","7","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","5gb","7","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","4gb","7","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","3gb","7","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","2gb","7","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","1gb","7","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","500mb","7","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","무제한","8","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","5gb","8","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","4gb","8","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","3gb","8","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","2gb","8","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","1gb","8","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","500mb","8","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","무제한","9","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","5gb","9","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","4gb","9","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","3gb","9","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","2gb","9","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","1gb","9","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","500mb","9","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","무제한","10","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","5gb","10","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","4gb","10","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","3gb","10","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","2gb","10","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","1gb","10","","Google maps 데이터 무료, Chat GPT 데이터 무료"
"JP","500mb","10","","Google maps 데이터 무료, Chat GPT 데이터 무료"
